# all rates in (m3/s)

mean energy
E/N (Td)    Mean energy (eV)
--------------------
31.99	0.1419E-12	
35.11	0.1437E-12	
38.54	0.1454E-12	
42.29	0.1472E-12	
46.42	0.1491E-12	
50.94	0.1510E-12	
55.91	0.1529E-12	
61.36	0.1548E-12	
67.34	0.1568E-12	
73.91	0.1589E-12	
81.11	0.1609E-12	
89.02	0.1630E-12	
97.70	0.1651E-12	
107.2	0.1672E-12	
117.7	0.1694E-12	
129.2	0.1716E-12	
141.7	0.1739E-12	
155.6	0.1762E-12	
170.7	0.1785E-12	
187.4	0.1809E-12	
205.7	0.1833E-12	
225.7	0.1858E-12	
247.7	0.1883E-12	
271.9	0.1908E-12	
298.4	0.1934E-12	
327.5	0.1959E-12	
359.4	0.1986E-12	
394.4	0.2012E-12	
432.9	0.2038E-12	
475.1	0.2063E-12	
521.4	0.2088E-12	
572.2	0.2112E-12	
628.0	0.2135E-12	
689.3	0.2155E-12	
756.5	0.2173E-12	
830.2	0.2188E-12	
911.2	0.2200E-12	
1000.	0.2207E-12	
-------------------------

excitation
E/N (Td)    Ar - Excitation
------------------------
0.1000	0.0	
0.1097	0.0	
0.1205	0.0	
0.1322	0.0	
0.1451	0.0	
0.1592	0.0	
0.1748	0.0	
0.1918	0.0	
0.2105	0.0	
0.2310	0.0	
0.2535	0.0	
0.2783	0.0	
0.3054	0.0	
0.3352	0.0	
0.3678	0.0	
0.4037	0.0	
0.4431	0.0	
0.4863	0.0	
0.5337	0.0	
0.5857	0.0	
0.6428	0.0	
0.7055	0.0	
0.7743	0.0	
0.8498	0.0	
0.9326	0.0	
1.024	0.0	
1.123	0.0	
1.233	0.0	
1.353	0.0	
1.485	0.0	
1.630	2.1600400000000003e-30	
1.789	1.86051e-28	
1.963	8.858899999999999e-27	
2.154	2.46872e-25	
2.364	4.2634000000000006e-24	
2.595	4.8103245139152604e-23	
2.848	3.7534548586960903e-22	
3.126	2.119849288362108e-21	
3.430	9.038782080366558e-21	
3.765	3.023653411228983e-20	
4.132	8.220240406392496e-20	
4.535	1.877295137958796e-19	
4.977	3.715762721136525e-19	
5.462	6.563494045543239e-19	
5.995	1.0597977713365093e-18	
6.579	1.5981487491626899e-18	
7.221	2.2873452715780297e-18	
7.925	3.1468942255476904e-18	
8.697	4.198510275762898e-18	
9.545	5.473444683307699e-18	
10.48	7.006223303058002e-18	
11.50	8.841572724172e-18	
12.62	1.1028793620830001e-17	
13.85	1.3631252054359998e-17	
15.20	1.6723673752699998e-17	
16.68	2.03876713562e-17	
18.31	2.4722584998400006e-17	
20.09	2.984740721599997e-17	
22.05	3.5894009071000015e-17	
24.20	4.3022978589000016e-17	
26.56	5.138886726000002e-17	
29.15	6.121747255e-17	
31.99	7.272438820999998e-17	
35.11	8.617071710999998e-17	
38.54	1.0184868190000001e-16	
42.29	1.2005469080000006e-16	
46.42	1.411580857e-16	
50.94	1.6558324999999995e-16	
55.91	1.9376424400000002e-16	
61.36	2.2616506800000024e-16	
67.34	2.6336501100000006e-16	
73.91	3.059682619999999e-16	
81.11	3.5463981699999995e-16	
89.02	4.1009073100000006e-16	
97.70	4.732060530000001e-16	
107.2	5.44912005e-16	
117.7	6.262575799999999e-16	
129.2	7.183754099999999e-16	
141.7	8.225528499999998e-16	
155.6	9.401973900000002e-16	
170.7	1.0727701899999998e-15	
187.4	1.2221389400000006e-15	
205.7	1.3899343400000009e-15	
225.7	1.5785903699999994e-15	
247.7	1.79031308e-15	
271.9	2.0273732e-15	
298.4	2.2929867e-15	
327.5	2.5900757999999996e-15	
359.4	2.9220339000000004e-15	
394.4	3.2925861999999996e-15	
432.9	3.705593800000001e-15	
475.1	4.165813700000001e-15	
521.4	4.677539200000001e-15	
572.2	5.245342399999999e-15	
628.0	5.873661000000001e-15	
689.3	6.5692007e-15	
756.5	7.335192e-15	
830.2	8.174071000000002e-15	
911.2	9.090048000000001e-15	
1000.	1.0086450999999998e-14
------------------------

ionization
E/N (Td)    Ar - Ionization
------------------------
0.1000	0.000
0.1097	0.000
0.1205	0.000
0.1322	0.000
0.1451	0.000
0.1592	0.000
0.1748	0.000
0.1918	0.000
0.2105	0.000
0.2310	0.000
0.2535	0.000
0.2783	0.000
0.3054	0.000
0.3352	0.000
0.3678	0.000
0.4037	0.000
0.4431	0.000
0.4863	0.000
0.5337	0.000
0.5857	0.000
0.6428	0.000
0.7055	0.000
0.7743	0.000
0.8498	0.000
0.9326	0.000
1.024	0.000
1.123	0.000
1.233	0.000
1.353	0.000
1.485	0.000
1.630	0.000
1.789	0.000
1.963	0.000
2.154	0.000
2.364	0.000
2.595	0.000
2.848	0.000
3.126	0.000
3.430	0.000
3.765	0.000
4.132	0.000
4.535	0.000
4.977	0.000
5.462	0.1886E-28
5.995	0.2447E-27
6.579	0.2446E-26
7.221	0.1950E-25
7.925	0.1276E-24
8.697	0.7026E-24
9.545	0.3323E-23
10.48	0.1374E-22
11.50	0.5039E-22
12.62	0.1671E-21
13.85	0.5002E-21
15.20	0.1375E-20
16.68	0.3503E-20
18.31	0.8327E-20
20.09	0.1860E-19
22.05	0.3926E-19
24.20	0.7884E-19
26.56	0.1510E-18
29.15	0.2772E-18
31.99	0.4898E-18
35.11	0.8361E-18
38.54	0.1383E-17
42.29	0.2221E-17
46.42	0.3476E-17
50.94	0.5311E-17
55.91	0.7940E-17
61.36	0.1164E-16
67.34	0.1675E-16
73.91	0.2371E-16
81.11	0.3305E-16
89.02	0.4545E-16
97.70	0.6172E-16
107.2	0.8285E-16
117.7	0.1100E-15
129.2	0.1448E-15
141.7	0.1887E-15
155.6	0.2441E-15
170.7	0.3133E-15
187.4	0.3994E-15
205.7	0.5059E-15
225.7	0.6371E-15
247.7	0.7979E-15
271.9	0.9942E-15
298.4	0.1233E-14
327.5	0.1523E-14
359.4	0.1872E-14
394.4	0.2293E-14
432.9	0.2798E-14
475.1	0.3402E-14
521.4	0.4122E-14
572.2	0.4976E-14
628.0	0.5988E-14
689.3	0.7180E-14
756.5	0.8580E-14
830.2	0.1021E-13
911.2	0.1211E-13
1000.	0.1430E-13
---------------------------

inverse excitation
E/N (Td)    Ar - Excitation
---------------------------
0.1000	1.6881051199999994e-14
0.1097	1.7143767599999994e-14
0.1205	1.74091178e-14
0.1322	1.7676807099999998e-14
0.1451	1.7950497700000007e-14
0.1592	1.8229690100000007e-14
0.1748	1.85143565e-14
0.1918	1.88092983e-14
0.2105	1.9118085600000005e-14
0.2310	1.9436920899999993e-14
0.2535	1.9769753599999998e-14
0.2783	2.01155365e-14
0.3054	2.0476319e-14
0.3352	2.0851645099999998e-14
0.3678	2.1241297000000003e-14
0.4037	2.164583559999999e-14
0.4431	2.2062661999999994e-14
0.4863	2.2492229999999994e-14
0.5337	2.2931721e-14
0.5857	2.3384117999999997e-14
0.6428	2.3847368000000004e-14
0.7055	2.4317304999999997e-14
0.7743	2.4795662000000004e-14
0.8498	2.5275475000000004e-14
0.9326	2.5764287999999997e-14
1.024	2.625500899999999e-14
1.123	2.6751290000000004e-14
1.233	2.7247021000000004e-14
1.353	2.7744161999999996e-14
1.485	2.8245376e-14
1.630	2.8743663999999996e-14
1.789	2.9243759e-14
1.963	2.9742072999999994e-14
2.154	3.0240478e-14
2.364	3.073752200000001e-14
2.595	3.1233141e-14
2.848	3.1727432e-14
3.126	3.2212199e-14
3.430	3.268525200000002e-14
3.765	3.313355499999999e-14
4.132	3.3534236000000004e-14
4.535	3.3873613e-14
4.977	3.4142095999999995e-14
5.462	3.4340467000000006e-14
5.995	3.4480099e-14
6.579	3.4577220000000005e-14
7.221	3.464313300000001e-14
7.925	3.4689323000000004e-14
8.697	3.472471199999998e-14
9.545	3.4755848e-14
10.48	3.4786079e-14
11.50	3.4819888000000005e-14
12.62	3.4853809000000006e-14
13.85	3.4895032000000006e-14
15.20	3.4935992e-14
16.68	3.4984578000000015e-14
18.31	3.503619200000001e-14
20.09	3.5093522e-14
22.05	3.5154209999999993e-14
24.20	3.5217617e-14
26.56	3.528925200000001e-14
29.15	3.5358634999999994e-14
31.99	3.5433145e-14
35.11	3.5512473e-14
38.54	3.559174899999999e-14
42.29	3.5673041000000015e-14
46.42	3.575728100000001e-14
50.94	3.584333699999998e-14
55.91	3.592952100000001e-14
61.36	3.6017242000000005e-14
67.34	3.6106581e-14
73.91	3.6195277e-14
81.11	3.628638199999999e-14
89.02	3.637684800000001e-14
97.70	3.6470842999999995e-14
107.2	3.656539999999999e-14
117.7	3.666410000000001e-14
129.2	3.676366499999999e-14
141.7	3.6866193999999996e-14
155.6	3.6970491e-14
170.7	3.7075078999999994e-14
187.4	3.7191449e-14
205.7	3.730631399999999e-14
225.7	3.7425806e-14
247.7	3.7551127999999994e-14
271.9	3.7682884999999995e-14
298.4	3.782088900000001e-14
327.5	3.7966286999999995e-14
359.4	3.8118271e-14
394.4	3.8277956000000004e-14
432.9	3.8445376999999996e-14
475.1	3.8620938000000005e-14
521.4	3.880598700000001e-14
572.2	3.900203399999999e-14
628.0	3.920747999999999e-14
689.3	3.942267799999999e-14
756.5	3.965013799999998e-14
830.2	3.988937099999999e-14
911.2	4.013879999999999e-14
1000.	4.0401043999999986e-14
-------------------------------

Ar -> Ar^+ ionization
E/N (Td)        Rate coefficient (m3/s)
----------------------------------------
1.000000e+01 3.284190e-25
1.098541e+01 1.269497e-24
1.206793e+01 4.750428e-24
1.325711e+01 1.911460e-23
1.456348e+01 6.724079e-23
1.599859e+01 2.050850e-22
1.757511e+01 5.542091e-22
1.930698e+01 1.356713e-21
2.120951e+01 3.404614e-21
2.329952e+01 8.102092e-21
2.559548e+01 1.772227e-20
2.811769e+01 3.571161e-20
3.088844e+01 7.131813e-20
3.393222e+01 1.373822e-19
3.727594e+01 2.496766e-19
4.094915e+01 4.372006e-19
4.498433e+01 7.520149e-19
4.941713e+01 1.242248e-18
5.428675e+01 1.993780e-18
5.963623e+01 3.140359e-18
6.551286e+01 4.793591e-18
7.196857e+01 7.190442e-18
7.906043e+01 1.057160e-17
8.685114e+01 1.520541e-17
9.540955e+01 2.157621e-17
1.048113e+02 3.003601e-17
1.151395e+02 4.129779e-17
1.264855e+02 5.595083e-17
1.389495e+02 7.490457e-17
1.526418e+02 9.916062e-17
1.676833e+02 1.298558e-16
1.842070e+02 1.684863e-16
2.023590e+02 2.166826e-16
2.222996e+02 2.764513e-16
2.442053e+02 3.501186e-16
2.682696e+02 4.405272e-16
2.947052e+02 5.507637e-16
3.237458e+02 6.847989e-16
3.556480e+02 8.469418e-16
3.906940e+02 1.042337e-15
4.291934e+02 1.276951e-15
4.714866e+02 1.557957e-15
5.179475e+02 1.892862e-15
5.689866e+02 2.290747e-15
6.250552e+02 2.762148e-15
6.866488e+02 3.318658e-15
7.543120e+02 3.972006e-15
8.286428e+02 4.738566e-15
9.102982e+02 5.633523e-15
1.000000e+03 6.672926e-15
---------------------------------

Ar* -> Ar^+ ionization
E/N (Td)        Rate coefficient (m3/s)
----------------------------------------
1.000000e+01 3.495831e-15
1.098541e+01 3.570001e-15
1.206793e+01 3.639630e-15
1.325711e+01 3.708181e-15
1.456348e+01 3.778582e-15
1.599859e+01 3.852722e-15
1.757511e+01 3.932562e-15
1.930698e+01 4.019392e-15
2.120951e+01 4.109967e-15
2.329952e+01 4.203641e-15
2.559548e+01 4.303826e-15
2.811769e+01 4.412273e-15
3.088844e+01 4.530473e-15
3.393222e+01 4.654294e-15
3.727594e+01 4.786021e-15
4.094915e+01 4.927969e-15
4.498433e+01 5.080289e-15
4.941713e+01 5.240671e-15
5.428675e+01 5.411943e-15
5.963623e+01 5.594389e-15
6.551286e+01 5.787250e-15
7.196857e+01 5.990729e-15
7.906043e+01 6.207206e-15
8.685114e+01 6.434066e-15
9.540955e+01 6.673454e-15
1.048113e+02 6.926520e-15
1.151395e+02 7.191848e-15
1.264855e+02 7.472321e-15
1.389495e+02 7.766915e-15
1.526418e+02 8.078882e-15
1.676833e+02 8.407476e-15
1.842070e+02 8.754993e-15
2.023590e+02 9.125323e-15
2.222996e+02 9.516435e-15
2.442053e+02 9.934815e-15
2.682696e+02 1.038206e-14
2.947052e+02 1.085958e-14
3.237458e+02 1.137526e-14
3.556480e+02 1.192780e-14
3.906940e+02 1.252767e-14
4.291934e+02 1.317652e-14
4.714866e+02 1.388190e-14
5.179475e+02 1.464928e-14
5.689866e+02 1.548677e-14
6.250552e+02 1.640240e-14
6.866488e+02 1.740548e-14
7.543120e+02 1.849948e-14
8.286428e+02 1.970218e-14
9.102982e+02 2.102026e-14
1.000000e+03 2.246031e-14
--------------------------------------

Ar -> Ar* excitation
E/N (Td)        Rate coefficient (m3/s)
----------------------------
1.000000e+01 3.820503e-18
1.098541e+01 4.788325e-18
1.206793e+01 5.953975e-18
1.325711e+01 7.350752e-18
1.456348e+01 9.018342e-18
1.599859e+01 1.100224e-17
1.757511e+01 1.335673e-17
1.930698e+01 1.614343e-17
2.120951e+01 1.946292e-17
2.329952e+01 2.341630e-17
2.559548e+01 2.810257e-17
2.811769e+01 3.363339e-17
3.088844e+01 4.014605e-17
3.393222e+01 4.786195e-17
3.727594e+01 5.695992e-17
4.094915e+01 6.761519e-17
4.498433e+01 8.005281e-17
4.941713e+01 9.466874e-17
5.428675e+01 1.116759e-16
5.963623e+01 1.313275e-16
6.551286e+01 1.542060e-16
7.196857e+01 1.805756e-16
7.906043e+01 2.108497e-16
8.685114e+01 2.457323e-16
9.540955e+01 2.856240e-16
1.048113e+02 3.312288e-16
1.151395e+02 3.833514e-16
1.264855e+02 4.427292e-16
1.389495e+02 5.103524e-16
1.526418e+02 5.874820e-16
1.676833e+02 6.750907e-16
1.842070e+02 7.748239e-16
2.023590e+02 8.884125e-16
2.222996e+02 1.017490e-15
2.442053e+02 1.164347e-15
2.682696e+02 1.331562e-15
2.947052e+02 1.521182e-15
3.237458e+02 1.737091e-15
3.556480e+02 1.981436e-15
3.906940e+02 2.258822e-15
4.291934e+02 2.572436e-15
4.714866e+02 2.926774e-15
5.179475e+02 3.325717e-15
5.689866e+02 3.774228e-15
6.250552e+02 4.277222e-15
6.866488e+02 4.839257e-15
7.543120e+02 5.463587e-15
8.286428e+02 6.157721e-15
9.102982e+02 6.924909e-15
1.000000e+03 7.767472e-15
--------------------------------------
