time: 1e-09, e: 1000000000000.0, Ar2^+: 0, Ar*: 0, Ar2(W)^+: 0, Ar(W)^+: 0, Ar^+: 1000000000000.0, Ar: 3.2187760973281406e+24, e(W): 0, EN: 77.66808103688814
time: 1.0000062215563474e-09, e: 1000000732475.7335, Ar2^+: 14390.547449516454, Ar*: 7107246.965635228, Ar2(W)^+: 0, Ar(W)^+: 78.50204547453302, Ar^+: 1000000718062.9102, Ar: 3.2187760973281406e+24, e(W): 55.07771716846436, EN: 77.66530799735685
time: 1.0000069352480595e-09, e: 1000000814926.2245, Ar2^+: 16073.956306836257, Ar*: 7918506.766060214, Ar2(W)^+: 0, Ar(W)^+: 78.50204547453302, Ar^+: 1000000798849.0171, Ar: 3.2187760973281406e+24, e(W): 72.98632203356914, EN: 77.66530799702993
time: 1.0000077200504466e-09, e: 1000000907188.6589, Ar2^+: 17984.804445942988, Ar*: 8809287.040082289, Ar2(W)^+: 0, Ar(W)^+: 78.50204547453302, Ar^+: 1000000889210.4534, Ar: 3.2187760973281406e+24, e(W): 82.83605470937677, EN: 77.66530799666411
time: 1.0000085811400305e-09, e: 1000001004939.4739, Ar2^+: 20108.406810846885, Ar*: 9792883.315021658, Ar2(W)^+: 0, Ar(W)^+: 78.50204547453302, Ar^+: 1000000984837.6638, Ar: 3.2187760973281406e+24, e(W): 82.83605470937677, EN: 77.66530799627652
time: 1.0000095316517218e-09, e: 1000001114359.4657, Ar2^+: 22253.67858763808, Ar*: 10873123.000016673, Ar2(W)^+: 0, Ar(W)^+: 90.42022201226025, Ar^+: 1000001092101.5798, Ar: 3.2187760973281406e+24, e(W): 82.83605470937677, EN: 77.66530799584267
time: 1.0000105674890842e-09, e: 1000001233935.6421, Ar2^+: 24862.56743174693, Ar*: 12061871.723346928, Ar2(W)^+: 0, Ar(W)^+: 103.5302162037602, Ar^+: 1000001209081.9791, Ar: 3.2187760973281406e+24, e(W): 109.05604309237667, EN: 77.66530799536855
time: 1.000011708978646e-09, e: 1000001369089.4463, Ar2^+: 27487.188268885053, Ar*: 13366106.385545352, Ar2(W)^+: 0, Ar(W)^+: 132.37220342506012, Ar^+: 1000001341611.1576, Ar: 3.2187760973281406e+24, e(W): 137.89803031367657, EN: 77.66530799483267
time: 1.000012961989197e-09, e: 1000001517219.6267, Ar2^+: 30374.27118973712, Ar*: 14801399.037648806, Ar2(W)^+: 0, Ar(W)^+: 132.37220342506012, Ar^+: 1000001486853.1254, Ar: 3.2187760973281406e+24, e(W): 137.89803031367657, EN: 77.66530799424534
time: 1.0000143401546545e-09, e: 1000001679463.5977, Ar2^+: 33742.00582763213, Ar*: 16380726.987611553, Ar2(W)^+: 0, Ar(W)^+: 132.37220342506012, Ar^+: 1000001645730.485, Ar: 3.2187760973281406e+24, e(W): 137.89803031367657, EN: 77.66530799360203
time: 1.0000158567624122e-09, e: 1000001855283.7148, Ar2^+: 37062.627079400634, Ar*: 18120905.272499554, Ar2(W)^+: 0, Ar(W)^+: 170.7608884166103, Ar^+: 1000001818229.982, Ar: 3.2187760973281406e+24, e(W): 176.28671530522675, EN: 77.66530799290491
